mode,n_slots,nt,nd,J,h_mean,h_se,n_seeds
slot_delta,64,16,10,160,3.7973166666666667,1.6806752366864666,3
slot_delta,16,16,20,40,14.973533333333334,3.7926699842034464,3
slot_delta,16,16,20,80,16.622633333333333,4.502925153565303,3
slot_delta,16,16,20,160,15.73149,3.4070330723715228,3
slot_delta,32,16,20,40,9.573023333333333,2.8043893759149143,3
slot_delta,32,16,20,80,9.663166666666667,3.019201355272248,3
slot_delta,32,16,20,160,9.73261,2.904775250864227,3
slot_delta,64,16,20,40,3.317593333333333,0.8269013015737998,3
slot_delta,64,16,20,80,3.36527,0.6696068471374328,3
slot_delta,64,16,20,160,3.1803399999999997,0.6524094553524904,3
slot_delta,16,16,50,40,13.221366666666666,0.802481617013402,3
slot_delta,16,16,50,80,14.265076666666666,1.666191923572365,3
slot_delta,16,16,50,160,13.992633333333336,1.5235188272038012,3
slot_delta,32,16,50,40,5.394073333333334,1.605710885665425,3
slot_delta,32,16,50,80,5.833386666666667,1.9725478606135542,3
slot_delta,32,16,50,160,5.935393333333334,2.1714738614155853,3
slot_delta,64,16,50,40,3.77884,1.9096500480018146,3
slot_delta,64,16,50,80,3.92722,1.8946078640271007,3
slot_delta,64,16,50,160,3.7085633333333337,1.8119242829041664,3
slot_delta,16,32,10,40,13.530443333333332,4.98307598067142,3
slot_delta,16,32,10,80,14.53506,5.195659824237918,3
slot_delta,16,32,10,160,14.55086,4.802320680577257,3
slot_delta,32,32,10,40,8.136236666666667,2.3388143604351708,3
slot_delta,32,32,10,80,8.537056666666667,2.4256811706015924,3
slot_delta,32,32,10,160,8.349276666666666,2.8511343049526405,3
slot_delta,64,32,10,40,4.029076666666667,1.6027791667115108,3
slot_delta,64,32,10,80,3.952386666666667,1.439565115238318,3
slot_delta,64,32,10,160,3.6258866666666667,1.3910395616388647,3
slot_delta,16,32,20,40,16.218646666666668,8.957667040700075,3
slot_delta,16,32,20,80,17.09602,9.170045609815691,3
slot_delta,16,32,20,160,16.44427,8.32417269099058,3
slot_delta,32,32,20,40,5.42968,1.3819003736280462,3
slot_delta,32,32,20,80,5.553916666666667,1.4841863604046195,3
slot_delta,32,32,20,160,5.233413333333334,1.2896079132089378,3
slot_delta,64,32,20,40,3.4358000000000004,1.3685119227467477,3
slot_delta,64,32,20,80,3.3911700000000002,1.209840824282269,3
slot_delta,64,32,20,160,3.1258966666666663,1.1523019749807097,3
slot_delta,16,32,50,40,15.81394,4.446526002364093,3
slot_delta,16,32,50,80,16.9505,5.062510455390027,3
slot_delta,16,32,50,160,16.682173333333335,4.555786330709307,3
slot_delta,32,32,50,40,5.7457633333333336,0.5255585871030723,3
slot_delta,32,32,50,80,6.350023333333333,0.657840776007217,3
slot_delta,32,32,50,160,6.101283333333334,0.9259635974546251,3
slot_delta,64,32,50,40,4.476783333333334,1.1974806074467808,3
slot_delta,64,32,50,80,4.32425,0.8894160696397011,3
slot_delta,64,32,50,160,4.025523333333333,0.977882602451735,3
slot_dense_update,16,8,10,40,151.62401333333332,1.8113383364272688,3
slot_dense_update,16,8,10,80,158.97092666666666,12.410149189264853,3
slot_dense_update,16,8,10,160,148.69583666666665,2.814792208259391,3
slot_dense_update,32,8,10,40,144.55101666666667,3.081283418135656,3
slot_dense_update,32,8,10,80,148.90384666666668,8.91851179030137,3
slot_dense_update,32,8,10,160,145.64059333333333,1.3351327694943957,3
slot_dense_update,64,8,10,40,136.12038333333334,7.972721963926613,3
slot_dense_update,64,8,10,80,140.90056333333334,11.563871306409943,3
slot_dense_update,64,8,10,160,137.67525333333333,7.373739028327343,3
slot_dense_update,16,8,20,40,149.70114333333333,1.0335912746718452,3
slot_dense_update,16,8,20,80,152.68988333333334,6.399204350709893,3
slot_dense_update,16,8,20,160,149.72287,2.1919899722170295,3
slot_dense_update,32,8,20,40,144.95407,2.7678748475379686,3
slot_dense_update,32,8,20,80,149.22362,8.66186322087229,3
slot_dense_update,32,8,20,160,145.92828666666665,1.1208311962457915,3
slot_dense_update,64,8,20,40,137.1662433333333,8.033229882295856,3
slot_dense_update,64,8,20,80,141.63632666666666,11.284654534191304,3
slot_dense_update,64,8,20,160,139.37049666666667,8.01812101525317,3
